-11264, -56, 12356, 105, -73, 296
-7396, 7428, 13836, 91, -12, 329
-1288, 10436, 12236, 40, 11, 330
3324, 12440, 9452, -6, 47, 286
7120, 14356, 4812, -36, 65, 266
6568, 15928, 704, -33, 75, 249
960, 17016, -4444, 19, 140, 273
-5100, 14872, -4632, 99, 164, 280
-7792, 11728, -7480, 146, 179, 270
-16896, 4444, -5220, 227, 90, 281
-14780, -564, -4360, 228, 7, 290
-13996, -8644, -1000, 167, -73, 293
-9240, -13380, 192, 91, -99, 270
-5464, -15280, 1184, 27, -99, 209
-1360, -16672, -2216, -7, -76, 148
2756, -14772, 384, -29, -58, 112
3140, -15732, -84, -27, -58, 102
1284, -14812, 8504, 7, -117, 146
2268, -13616, 8072, 80, -139, 118
784, -14900, 4436, 171, -135, 124
3560, -15404, 3144, 181, -130, 129
10268, -12016, 1504, 114, -140, 156
15508, -7212, 2804, 40, -139, 147
15580, 2084, 6504, -13, -101, 176
11584, 4020, 10984, -31, -37, 223
8632, 6440, 13080, -52, 0, 255
1944, 6972, 15608, 9, 33, 297
-6708, 7340, 8508, 54, 64, 321
-10688, 14116, 2680, 105, 116, 322
-7880, 14460, 2656, 93, 139, 308
3760, 13832, -5332, 37, 151, 275
5672, 14212, -8884, 9, 153, 265
7148, 7424, -11876, -34, 115, 224
6860, 3548, -12520, -33, 131, 188
3972, 4380, -15304, 22, 187, 168
2620, 8176, -13128, 125, 216, 159
-5108, 8028, -12312, 236, 161, 177
-11768, 4928, -10976, 270, 61, 216
-15500, 6752, -2932, 245, 58, 287
-13684, 7220, 5020, 161, 12, 321
-6916, 9592, 10908, 132, 6, 325
6980, 13048, 9688, 50, 21, 325
11484, 8464, 5164, 21, 8, 315
12796, 9432, 2016, -6, 8, 279
9512, 12980, -3068, -27, 64, 268
1528, 16412, -3492, 17, 146, 273
-7604, 14612, -548, 99, 133, 312
-12772, 10344, 700, 163, 92, 319
-14636, 7576, 592, 203, 28, 307
-13444, 8692, -80, 223, 15, 265
-12232, 11404, 896, 252, 21, 252
-11140, 11120, 716, 275, 12, 180
-11132, 10972, -1684, 272, 8, 135
-11456, 11492, -1176, 259, 6, 103
-12096, 10112, -4464, 254, -19, 74
-11384, 12064, -4380, 252, -1, 74
-11088, 14520, -2372, 269, 21, 135
-9112, 11632, 4624, 257, 16, 208
-4408, 12552, 7148, 202, 32, 286
3640, 13200, 6616, 114, 56, 338
6272, 13568, 5132, 34, 46, 316
12076, 13736, 296, -40, 49, 252
8192, 9888, -1704, -38, 42, 235
13456, 1092, -5568, -44, 28, 224
10320, 10860, -5988, -67, 12, 207
11204, 7240, -6500, -44, -30, 156
14636, 3420, -8360, -24, -71, 168
10020, -3048, -13052, 36, -129, 127
3092, -340, -14948, 74, -112, 85
-2240, 3096, -17204, 54, -82, 48
-9448, 848, -15732, 78, -80, 49
-13636, -5216, -6752, 126, -97, 63
-10524, -7364, -3360, 145, -121, 86
-10996, -7256, -14052, 60, -108, 86
3860, -4200, -16912, -6, -85, 120
11260, 616, -11780, -24, -66, 168
15420, 5996, -1876, -24, -46, 216
13376, 6588, 2336, -17, -43, 260
11128, -2096, -12220, -13, -75, 201
-868, -9288, -13372, 39, -125, 165
-9076, -9856, -6828, 80, -134, 142
-7776, -12524, -3620, 78, -119, 147
7760, -5648, -15268, 13, -101, 176
15468, -260, -4868, -2, -87, 216
15888, 980, 3232, 18, -80, 249
15652, 2300, 3896, 23, -55, 274
13532, -5476, -5784, 3, -75, 247
4344, -9576, -14036, 21, -103, 186
-8372, -13280, -8476, 55, -137, 159
-6656, -11676, -5644, 78, -119, 157
9712, -10752, -11104, 23, -101, 220
13836, -5832, -3640, 28, -78, 259
12832, -2064, 3008, 60, -57, 298
15892, -7384, -3500, 27, -71, 275
3984, -13336, -10624, 18, -101, 215
-4652, -13912, -9720, 34, -112, 182
-3896, -13192, -4444, 49, -123, 202
10668, -10324, -7348, -1, -65, 252
12264, -14272, -3480, 39, -48, 302
14752, -11516, 3212, 59, -5, 314
-612, -16456, 6816, 114, 5, 333
-5504, -10464, 9256, 127, 37, 337
-4504, -8560, 12964, 132, 67, 337
8692, -5908, 10420, 65, 78, 325
15260, -6284, 3332, 13, 93, 298
18260, -2108, -1840, -2, 102, 275
6888, -13364, 4884, 9, 12, 307
-1948, -13476, 7680, 74, 5, 324
-8644, -9080, 11136, 114, 51, 336
-20, -9492, 13420, 62, 76, 326
9256, -10704, 9176, -4, 79, 287
14088, -11256, 3200, -37, 71, 241
7668, -9596, 11768, -1, 90, 296
1612, -6748, 14828, 62, 115, 331
-7484, -3260, 14552, 122, 116, 325
-8308, -2272, 15172, 126, 138, 316
-1196, -2640, 15440, 93, 139, 318
7492, -1800, 14164, 28, 147, 286
11936, 1280, 12836, 31, 172, 240
4728, 832, 16676, 65, 167, 288
-2136, 3996, 16048, 99, 187, 273
-8484, 8756, 12612, 131, 212, 236
1088, 8668, 12916, 140, 211, 242
5360, 8152, 11008, 106, 215, 214
4884, 14288, 8196, 176, 210, 182
3944, 11680, 10060, 113, 224, 184
308, 10736, 11212, 95, 224, 203
-3400, 14268, 7956, 72, 222, 190
-2080, 15156, 6936, 49, 235, 175
5292, 15788, 6308, 33, 219, 130
9104, 12404, 3980, 58, 224, 98
7324, 13172, 4792, 24, 220, 117
-1792, 15364, 3156, 72, 238, 151
-3328, 14424, 4196, 81, 240, 173
-8668, 10652, 5496, 121, 233, 224
-14196, 9552, 5292, 142, 185, 286
-16644, 1404, 6792, 151, 69, 333
-10172, -6464, 10984, 99, -46, 324
-2912, -13376, 6868, 18, -106, 223
6528, -16464, -188, -39, -56, 134
13280, -10244, -1644, -60, 52, 145
16764, 3940, 2476, 19, 158, 253
8712, 14384, 7164, 150, 165, 274
16284, 9864, 7788, 93, 116, 318
5196, -9284, 9672, 73, 3, 332
-4084, -9964, 7976, 118, -11, 340
-15728, -420, 6100, 161, 38, 333
-14828, 2328, 9844, 124, 92, 331
-14584, 10136, 2096, 147, 149, 308
-13676, 11944, -96, 131, 166, 294
-7600, 13028, 8828, 70, 139, 298
-12584, 15372, 8952, 43, 142, 298
-7376, 13188, -724, 62, 194, 258
-7304, 11128, 8004, 85, 134, 327
-13132, -2368, 9312, 118, 19, 340
-2308, -15492, 8316, 90, -3, 327
6388, -12736, 3512, 135, -47, 327
6948, -14436, 1144, 175, -90, 288
6560, -12472, 2624, 192, -83, 264
1000, -11956, 7308, 203, -120, 231
-512, -10384, 4472, 207, -116, 186
-4508, -16392, 4336, 150, -131, 113
-11988, -9728, 3652, 156, -125, 131
-14864, -304, 7252, 190, -96, 201
-3532, 10616, 10632, 195, 3, 293
9248, 3716, 9052, 99, -7, 331
13604, -6836, 6152, 83, -57, 288
4900, -16584, 104, 141, -89, 282
4820, -15036, -128, 130, -78, 283
4752, -16752, -7120, 94, -89, 275
1932, -9616, -5792, 17, -92, 216
1020, -11212, -14072, -14, -92, 158
-2888, -15008, -5672, -17, -82, 126
-12128, -18880, 5784, 42, -112, 148
2772, -14136, -5580, 40, -126, 164
-10044, -5984, 16116, 103, -134, 154
6452, -12188, 9124, 89, -153, 156
13528, -12444, 1016, 99, -161, 170
11012, -12640, 228, 131, -143, 209
16644, -10092, -972, 100, -155, 157
6380, -9232, 316, 3, -101, 142
4240, -17652, 4872, -42, -64, 153
4688, -16372, 4844, -50, -19, 227
7824, -13544, 3272, -14, 0, 277
10392, -20352, 760, 13, -44, 293
4180, -16732, 1276, 108, -67, 296
5908, -18480, 972, 150, -75, 269
5044, -14156, 4876, 181, -102, 241
3612, -15188, 5832, 187, -124, 157
-948, -14396, 6088, 140, -131, 108
-9512, -14864, 5608, 104, -128, 104
-7800, -12580, 836, 104, -125, 104
-14192, -6232, 6092, 157, -131, 159
-10820, 2884, 11748, 204, -75, 247
-644, 9960, 12496, 175, 21, 298
11380, 8508, 8512, 96, 51, 333
15032, -6244, 5372, 62, 7, 336
8628, -13904, 2580, 85, -42, 315
3104, -15832, 2388, 150, -80, 293
-68, -16724, 4276, 223, -56, 285
-564, -9152, 13520, 221, -5, 282
-1428, 1788, 16260, 259, 55, 279
-5420, 9904, 11624, 270, 87, 216
-6384, 14104, 5588, 269, 75, 169
-1028, 14284, 8112, 258, 117, 216
9336, 6728, 13040, 167, 80, 320
9628, -6428, 10064, 139, -17, 329
4412, -15892, 712, 149, -66, 292
3548, -15452, -9868, 188, -110, 238
184, -10692, -9600, 203, -89, 221
-2328, -9160, -14284, 196, -117, 182
-13484, 4108, -10156, 255, -48, 192
-12088, 11568, -5076, 272, -1, 188
-13840, 6260, -7472, 250, -43, 112
-14808, 9032, -1052, 264, -16, 154
-14924, -2812, -4372, 197, -96, 149
-7160, -12420, -6628, 74, -135, 168
7292, -11784, -9968, -27, -41, 202
15164, 1472, -5448, -33, 75, 259
11072, 10252, -5392, 39, 146, 290
7504, 14288, -6340, 91, 169, 304
5076, 15992, 804, 90, 119, 332
7476, 14236, 7596, 103, 34, 349
6712, 5032, 13204, 119, -28, 321
8076, -2500, 17328, 142, -80, 279
4772, -4984, 14920, 154, -99, 260
3752, -6052, 12984, 149, -99, 273
1688, -2896, 15780, 156, -87, 275
1424, -1544, 16872, 166, -46, 299
2928, 4816, 15016, 166, 7, 324
5056, 12324, 10492, 140, 75, 344
10120, 8064, -1840, 83, 129, 335
3304, 15188, -4588, 69, 181, 280
-1064, 11640, -11988, 91, 215, 207
-2800, 7532, -16508, 104, 215, 143
1728, 7152, -13492, 68, 211, 157
9692, 7144, -10776, 32, 171, 234
14684, 3132, -2700, 21, 101, 303
14912, -5196, 28, 7, 53, 314
2292, -14712, 3432, 65, -26, 318
-2124, -14232, 4408, 129, 0, 333
-11536, -12152, 4608, 217, 34, 305
-15612, -9048, 3232, 259, 90, 276
-16276, -3516, 4464, 226, 143, 255
-7556, 264, 13420, 176, 169, 268
2336, 4752, 15704, 110, 198, 274
12488, 2864, 7536, 36, 188, 240
18912, 1092, -3380, 21, 175, 208
16908, -6872, 3180, -12, 99, 273
6292, -14196, 3068, 37, 5, 321
1208, -18076, 912, 83, -24, 325
-11324, -16032, -1032, 141, -43, 312
280, -16344, 772, 135, -44, 322
-3772, -14548, 3348, 201, -25, 309
-10172, -13496, 2272, 255, 25, 265
-11344, -10768, 28, 269, 60, 262
-12840, -8980, -9144, 275, 33, 253
-10936, -7468, -8904, 268, 15, 243
-6756, -7876, -10112, 265, -7, 231
-9612, -72, -11164, 285, 10, 207
-8828, 4724, -14124, 285, 0, 180
-6904, 8848, -11916, 288, 53, 163
-4296, 13308, -8544, 294, 80, 157
-3428, 12384, -6148, 275, 112, 163
-9420, 6608, -11856, 289, 24, 198
-12156, -3100, -9752, 263, -10, 251
-10824, -9660, -6100, 237, -11, 279
-8664, -13836, -1064, 202, -16, 301
-6592, -14868, 4804, 171, 7, 321
-4552, -16808, -1904, 149, -41, 309
-228, -12676, 6220, 135, -1, 335
-4508, -10252, 11440, 160, 67, 313
-112, -3280, 16564, 166, 125, 316
4232, 3296, 16820, 150, 170, 269
6196, 12200, 10060, 141, 187, 231
10600, 12144, 5252, 146, 207, 202
13184, 11260, 1736, 132, 198, 208
13244, 9960, 428, 105, 196, 252
15924, 8692, 5772, 78, 152, 303
12864, 2932, 7916, 105, 152, 305
9744, 9044, 10292, 154, 169, 263
5200, 9368, 12316, 185, 170, 237
856, 6452, 14924, 228, 164, 238
-4928, 4260, 15936, 238, 143, 236
-11772, -1740, 14696, 274, 106, 220
-18032, -492, 8376, 275, 117, 168
-15056, 2884, 2000, 258, 128, 104
-10596, 11032, 5096, 203, 199, 121
-3488, 14864, 6652, 160, 221, 123
-1888, 12284, 9748, 178, 212, 182
-5564, 7256, 14796, 217, 162, 242
-10176, -2008, 12400, 245, 97, 236
-14536, -4884, 5900, 288, 82, 195
-17220, 1556, 3936, 267, 114, 157
-12748, 5372, 8868, 259, 114, 188
-12568, 9320, 8552, 234, 160, 176
1020, 10344, 14684, 213, 179, 229
13516, 4492, 6148, 90, 149, 303
16700, -300, -6248, -17, 99, 265
10192, 2140, -12956, -63, 65, 166
